reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.2,65.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.25,72.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.3,80.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.35,87.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.4,95.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.45,102.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.5,110.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.55,117.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.6,125.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.65,132.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.7,140.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.75,148.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.8,155.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.85,163.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.9,170.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.95,178.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.975,181.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.99,184.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.01,2.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.025,3.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.05,3.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.1,4.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.15,6.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.2,7.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.25,8.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.3,9.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.35,10.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.4,12.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.45,13.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.5,14.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.55,15.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.6,16.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.65,18.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.7,19.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.75,20.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.8,21.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.85,22.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.9,24.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.95,25.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.975,25.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,02,quantile,0.99,26.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.01,7.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.025,7.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.05,8.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.1,9.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.15,10.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.2,11.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.25,12.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.3,13.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.35,14.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.4,15.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.45,17.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.5,18.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.55,19.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.6,20.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.65,21.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.7,22.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.75,23.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.8,24.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.85,25.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.9,27.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.95,28.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.975,28.0
2024-11-23,wk inc flu hosp,0,2024-11-23,02,quantile,0.99,29.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.01,7.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.025,7.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.05,8.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.1,9.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.15,10.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.2,11.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.25,13.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.3,14.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.35,15.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.4,16.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.45,17.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.5,18.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.55,19.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.6,21.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.65,22.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.7,23.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.75,24.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.8,25.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.85,26.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.9,27.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.95,29.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.975,29.0
2024-11-23,wk inc flu hosp,1,2024-11-30,02,quantile,0.99,30.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.01,8.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.025,9.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.05,9.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.1,10.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.15,11.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.2,12.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.25,14.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.3,15.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.35,16.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.4,17.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.45,18.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.5,19.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.55,20.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.6,21.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.65,23.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.7,24.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.75,25.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.8,26.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.85,27.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.9,28.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.95,29.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.975,30.0
2024-11-23,wk inc flu hosp,2,2024-12-07,02,quantile,0.99,30.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.01,6.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.025,6.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.05,7.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.1,8.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.15,9.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.2,10.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.25,11.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.3,13.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.35,14.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.4,15.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.45,16.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.5,17.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.55,19.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.6,20.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.65,21.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.7,22.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.75,24.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.8,25.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.85,26.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.9,27.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.95,28.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.975,29.0
2024-11-23,wk inc flu hosp,3,2024-12-14,02,quantile,0.99,29.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.01,1.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.025,4.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.05,9.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.1,18.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.15,27.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.2,37.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.25,46.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.3,55.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.35,64.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.4,74.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.45,83.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.5,92.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.55,101.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.6,111.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.65,120.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.7,129.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.75,138.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.8,148.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.85,157.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.9,166.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.95,175.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.975,180.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,04,quantile,0.99,183.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.01,39.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.025,42.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.05,47.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.1,56.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.15,66.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.2,75.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.25,85.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.3,94.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.35,104.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.4,113.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.45,123.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.5,132.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.55,142.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.6,151.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.65,161.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.7,170.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.75,180.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.8,189.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.85,199.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.9,208.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.95,218.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.975,223.0
2024-11-23,wk inc flu hosp,0,2024-11-23,04,quantile,0.99,226.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.01,62.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.025,66.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.05,71.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.1,82.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.15,93.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.2,104.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.25,115.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.3,126.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.35,137.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.4,148.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.45,159.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.5,170.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.55,181.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.6,192.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.65,203.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.7,214.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.75,225.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.8,236.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.85,247.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.9,258.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.95,269.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.975,274.0
2024-11-23,wk inc flu hosp,1,2024-11-30,04,quantile,0.99,277.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.01,115.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.025,118.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.05,123.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.1,132.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.15,142.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.2,151.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.25,161.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.3,170.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.35,180.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.4,189.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.45,199.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.5,208.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.55,218.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.6,227.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.65,237.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.7,246.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.75,256.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.8,265.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.85,275.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.9,284.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.95,294.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.975,298.0
2024-11-23,wk inc flu hosp,2,2024-12-07,04,quantile,0.99,301.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.01,166.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.025,169.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.05,174.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.1,185.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.15,195.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.2,205.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.25,215.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.3,225.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.35,235.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.4,246.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.45,256.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.5,266.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.55,276.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.6,286.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.65,296.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.7,307.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.75,317.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.8,327.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.85,337.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.9,347.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.95,358.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.975,363.0
2024-11-23,wk inc flu hosp,3,2024-12-14,04,quantile,0.99,366.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,05,quantile,0.01,0.0
